Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,3,Perinelli Elena,-,C,-,4,4,-,*,*,4,1,-2,6,2,-,14,3,0 ,21%,10 ,-,1,4,40%,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,4,Avenia Giorgia,-,-,-,6,6,6,6,6,3,-,3,15,-,-,-,-,-,-,3 ,-,-,2,67%,-,1 ,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,5,Colombo Valentina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,6,Davoli Marta,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,7,Lohuis Juliet,-,-,-,5,5,5,5,5,18,6,16,13,-,1,1,-,-,-,18 ,-,2,11,61%,-,6 ,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,9,Melandri Laura,-,-,-,2,2,2,2,2,6,5,6,16,-,-,-,-,-,-,11 ,-,-,5,45%,-,1 ,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,10,Manfredini Linda,-,-,-,-,*,*,*,*,1,-,1,3,-,-,-,-,-,-,1 ,-,-,1,100%,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,14,Edwards Breana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,15,Faraone Giorgia,-,-,-,*,*,-,*,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,16,Obossa Josephine,-,-,-,-,-,-,-,*,1,-,1,2,-,-,-,-,-,-,1 ,-,-,1,100%,-,-,,
